Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TRANSFER,Current,2023-08-31 22:28:02,2023-08-31 22:28:03,Transfer from Revolut user,50.00,0.00,EUR,COMPLETED,51.20
CARD_PAYMENT,Current,2023-09-01 13:07:04,2023-09-03 04:11:51,Apnoia,-4.00,0.00,EUR,COMPLETED,47.20
CARD_PAYMENT,Current,2023-09-01 18:43:50,2023-09-03 13:37:19,Botilia,-40.00,0.00,EUR,COMPLETED,7.20
CARD_PAYMENT,Current,2023-09-03 14:23:33,2023-09-05 04:09:30,Elia Sto Vrekastro,-3.50,0.00,EUR,COMPLETED,3.70
CARD_PAYMENT,Current,2023-09-02 11:18:58,2023-09-05 16:14:05,Maistrali,-2.50,0.00,EUR,COMPLETED,1.20
REWARD,Current,2023-10-18 12:09:39,2023-10-18 12:09:39,Referral reward,100.00,0.00,EUR,COMPLETED,101.20
CARD_PAYMENT,Current,2023-10-29 15:15:05,2023-10-30 04:43:08,LinkedIn,-42.07,0.42,EUR,COMPLETED,58.71
CARD_PAYMENT,Current,2023-11-07 14:35:51,2023-11-08 16:54:07,Viva Electronic Services,-6.24,0.00,EUR,COMPLETED,52.47
CARD_PAYMENT,Current,2023-11-08 18:29:48,2023-11-10 16:42:14,Skroutz,-28.35,0.00,EUR,COMPLETED,24.12
EXCHANGE,Current,2023-11-14 22:04:29,2023-11-14 22:04:29,Exchange to EUR,10.32,0.00,EUR,COMPLETED,34.44
TRANSFER,Current,2023-11-14 22:04:50,2023-11-14 22:04:50,Transfer to Revolut user,-10.00,0.00,EUR,COMPLETED,24.44
CARD_PAYMENT,Current,2023-11-11 14:34:12,2023-11-15 03:14:15,OASA - Transport for Athens,-10.00,0.00,EUR,COMPLETED,14.44
CARD_PAYMENT,Current,2023-11-11 14:28:25,2023-11-15 03:14:15,OASA - Transport for Athens,-10.00,0.00,EUR,COMPLETED,4.44
CARD_PAYMENT,Current,2023-11-13 09:09:36,2023-11-15 03:14:40,Antheon Tyropita Santouits Kafe,-2.70,0.00,EUR,COMPLETED,1.74
CARD_PAYMENT,Current,2023-11-18 09:24:31,2023-11-18 20:38:30,Uber,-1.00,0.00,EUR,COMPLETED,0.74
EXCHANGE,Current,2023-12-29 21:40:46,2023-12-29 21:40:46,Exchange to EUR,31.13,0.00,EUR,COMPLETED,31.87
TRANSFER,Current,2023-12-29 21:41:28,2023-12-29 21:41:29,Transfer to Revolut user,-30.00,0.00,EUR,COMPLETED,1.87
EXCHANGE,Current,2024-01-02 23:32:41,2024-01-02 23:32:41,Exchange to EUR,107.29,0.00,EUR,COMPLETED,109.16
CARD_PAYMENT,Current,2024-01-03 15:52:24,2024-01-04 03:05:57,Sp S.wert Design,-3.00,0.00,EUR,COMPLETED,106.16
EXCHANGE,Current,2024-01-04 15:30:05,2024-01-04 15:30:05,Exchange to EUR,107.12,0.00,EUR,COMPLETED,213.28
TRANSFER,Current,2024-01-04 15:30:30,2024-01-04 15:30:30,Transfer to Revolut user,-165.00,0.00,EUR,COMPLETED,48.28
CARD_PAYMENT,Current,2024-01-03 09:59:38,2024-01-04 18:53:30,efood,-5.20,0.00,EUR,COMPLETED,43.08
CARD_PAYMENT,Current,2024-01-06 15:01:26,2024-01-09 04:15:16,Aegean Airlines,-40.63,0.00,EUR,COMPLETED,2.45
CARD_PAYMENT,Current,2024-02-03 22:20:58,2024-02-06 04:05:51,DAEM,-2.00,0.00,EUR,COMPLETED,0.45
EXCHANGE,Current,2024-03-31 18:25:06,2024-03-31 18:25:06,Exchange to EUR,35.85,0.36,EUR,COMPLETED,35.94
TRANSFER,Current,2024-03-31 18:25:30,2024-03-31 18:25:31,Transfer to Revolut user,-35.00,0.00,EUR,COMPLETED,0.94
TRANSFER,Current,2024-04-01 00:30:17,2024-04-01 00:30:18,Transfer from Revolut user,13.00,0.00,EUR,COMPLETED,13.94
EXCHANGE,Current,2024-04-01 00:30:34,2024-04-01 00:30:34,Exchange to EUR,42.02,0.00,EUR,COMPLETED,55.96
TRANSFER,Current,2024-04-01 07:21:17,2024-04-01 07:21:17,Transfer from Revolut user,20.00,0.00,EUR,COMPLETED,75.96
CARD_PAYMENT,Current,2024-04-01 00:31:01,2024-04-02 13:39:31,Epitokio,-44.00,0.00,EUR,COMPLETED,31.96
CARD_PAYMENT,Current,2024-04-03 09:55:04,2024-04-04 14:32:37,Artopolis Varkiza,-14.00,0.00,EUR,COMPLETED,17.96
CARD_PAYMENT,Current,2024-04-02 13:00:27,2024-04-04 14:34:34,Dimitriou Gounari,-0.50,0.00,EUR,COMPLETED,17.46
CARD_PAYMENT,Current,2024-04-04 11:32:44,2024-04-06 04:02:09,Skordilis Pavlos,-9.00,0.00,EUR,COMPLETED,8.46
CARD_PAYMENT,Current,2024-04-07 09:07:18,2024-04-08 07:23:26,Iakovos Koukas,-2.10,0.00,EUR,COMPLETED,6.36
CARD_PAYMENT,Current,2024-05-05 14:56:10,2024-05-06 06:38:26,Medium,-4.66,0.05,EUR,COMPLETED,1.65
TRANSFER,Current,2024-07-28 15:04:03,2024-07-28 15:04:04,Transfer from Revolut user,560.00,0.00,EUR,COMPLETED,561.65
CARD_PAYMENT,Current,2024-08-07 09:43:48,2024-08-08 14:03:09,Autounion Car Rental,-150.00,0.00,EUR,COMPLETED,411.65
CARD_PAYMENT,Current,2024-08-07 18:23:58,2024-08-08 14:03:14,Special New E.e.,-34.00,0.00,EUR,COMPLETED,377.65
CARD_PAYMENT,Current,2024-08-07 13:36:40,2024-08-09 04:01:20,Alexandridis Antonios,-9.00,0.00,EUR,COMPLETED,368.65
CARD_PAYMENT,Current,2024-08-07 11:53:46,2024-08-09 14:20:56,Xylofournos O Epiousios,-6.70,0.00,EUR,COMPLETED,361.95
CARD_PAYMENT,Current,2024-08-07 11:03:48,2024-08-09 14:21:09,Phyllosophies,-21.00,0.00,EUR,COMPLETED,340.95
CARD_PAYMENT,Current,2024-08-08 15:18:27,2024-08-10 04:05:23,Chalkiadakis SA,-72.67,0.00,EUR,COMPLETED,268.28
CARD_PAYMENT,Current,2024-08-08 20:33:07,2024-08-10 04:06:44,Ntoukiani,-19.00,0.00,EUR,COMPLETED,249.28
CARD_PAYMENT,Current,2024-08-08 12:23:46,2024-08-11 16:35:55,Special,-32.00,0.00,EUR,COMPLETED,217.28
CARD_PAYMENT,Current,2024-08-09 12:55:18,2024-08-11 16:36:39,Waikiki Coffee House,-31.70,0.00,EUR,COMPLETED,185.58
CARD_PAYMENT,Current,2024-08-09 15:35:43,2024-08-11 16:36:39,Michelaros Kafe,-2.50,0.00,EUR,COMPLETED,183.08
CARD_PAYMENT,Current,2024-08-09 21:46:08,2024-08-11 16:37:33,Ntoukiani,-92.00,0.00,EUR,COMPLETED,91.08
CARD_PAYMENT,Current,2024-08-10 16:30:57,2024-08-12 14:46:45,Michelaros Kafe,-5.00,0.00,EUR,COMPLETED,86.08
CARD_PAYMENT,Current,2024-08-10 12:42:25,2024-08-13 04:00:18,Special,-45.00,0.00,EUR,COMPLETED,41.08
CARD_PAYMENT,Current,2024-08-11 11:49:09,2024-08-13 14:46:42,Michelaros Kafe,-5.00,0.00,EUR,COMPLETED,36.08
CARD_PAYMENT,Current,2024-08-13 14:29:13,2024-08-15 15:26:59,Michelaros Kafe,-5.20,0.00,EUR,COMPLETED,30.88
CARD_PAYMENT,Current,2024-08-13 11:40:35,2024-08-15 15:27:03,Michelaros Kafe,-5.00,0.00,EUR,COMPLETED,25.88
CARD_PAYMENT,Current,2024-08-14 11:41:29,2024-08-16 14:43:18,Michelaros Kafe,-6.20,0.00,EUR,COMPLETED,19.68
CARD_PAYMENT,Current,2024-08-16 12:10:48,2024-08-17 04:03:50,Artopoieia Zafeirakis,-4.00,0.00,EUR,COMPLETED,15.68
CARD_PAYMENT,Current,2024-08-16 17:05:57,2024-08-18 13:54:01,Duty free,-14.14,0.00,EUR,COMPLETED,1.54
TRANSFER,Current,2024-09-28 13:35:48,2024-09-28 13:35:48,Transfer from Revolut user,57.00,0.00,EUR,COMPLETED,58.54
TRANSFER,Current,2024-09-30 10:50:38,2024-09-30 10:50:38,Transfer from Revolut user,20.00,0.00,EUR,COMPLETED,78.54
CARD_PAYMENT,Current,2024-10-15 18:06:08,2024-10-17 04:04:25,Aegean Airlines,-40.34,0.00,EUR,COMPLETED,38.20
CARD_PAYMENT,Current,2024-10-16 14:34:38,2024-10-18 07:04:58,Aegean Airlines,-30.44,0.00,EUR,COMPLETED,7.76
CARD_PAYMENT,Current,2024-11-01 15:55:21,2024-11-02 16:31:08,The sparrow nuts & coffee,-2.20,0.00,EUR,COMPLETED,5.56
CARD_PAYMENT,Current,2024-11-03 09:28:35,2024-11-04 03:56:48,Gregory's,-5.50,0.00,EUR,COMPLETED,0.06
EXCHANGE,Current,2024-11-06 22:50:45,2024-11-06 22:50:45,Exchange to EUR,23.36,0.00,EUR,COMPLETED,23.42
TRANSFER,Current,2024-11-06 22:52:00,2024-11-06 22:52:00,Transfer to Revolut user,-23.00,0.00,EUR,COMPLETED,0.42
EXCHANGE,Current,2024-12-12 09:34:43,2024-12-12 09:34:43,Exchange to EUR,500.00,0.00,EUR,COMPLETED,500.42
TRANSFER,Current,2024-12-12 09:35:10,2024-12-12 09:35:11,Transfer to Revolut user,-500.00,0.00,EUR,COMPLETED,0.42
EXCHANGE,Current,2024-12-23 09:32:54,2024-12-23 09:32:54,Exchange to EUR,857.11,1.89,EUR,COMPLETED,855.64
CARD_PAYMENT,Current,2024-12-24 20:12:10,2024-12-26 03:50:33,Aegean Airlines,-848.00,0.00,EUR,COMPLETED,7.64
TRANSFER,Current,2024-12-29 13:17:22,2024-12-29 13:17:22,Transfer from Revolut user,12.00,0.00,EUR,COMPLETED,19.64
CARD_PAYMENT,Current,2024-12-31 14:02:57,2025-01-02 04:08:53,Lidl,-1.55,0.00,EUR,COMPLETED,18.09
CARD_PAYMENT,Current,2025-01-02 13:29:55,2025-01-03 04:23:44,Tanto Cafe,-7.80,0.00,EUR,COMPLETED,10.29
CARD_PAYMENT,Current,2025-01-04 10:50:28,2025-01-05 05:01:55,Attiki Odos,-2.50,0.00,EUR,COMPLETED,7.79
CARD_PAYMENT,Current,2025-01-03 12:05:26,2025-01-05 15:49:25,Spotify,-5.90,0.00,EUR,COMPLETED,1.89
TRANSFER,Current,2025-01-11 20:58:44,2025-01-11 20:58:45,Transfer from Revolut user,12.00,0.00,EUR,COMPLETED,13.89
EXCHANGE,Current,2025-01-11 21:02:37,2025-01-11 21:02:37,Exchange to EUR,8.51,0.09,EUR,COMPLETED,22.31
CARD_PAYMENT,Current,2025-01-11 21:02:53,2025-01-13 13:36:06,MiniM by Panini & Coffee,-16.10,0.00,EUR,COMPLETED,6.21
EXCHANGE,Current,2025-02-07 09:55:42,2025-02-07 09:55:42,Exchange to EUR,742.61,0.00,EUR,COMPLETED,748.82
TRANSFER,Current,2025-02-07 09:56:13,2025-02-07 09:56:13,Transfer to Revolut user,-742.00,0.00,EUR,COMPLETED,6.82
TRANSFER,Current,2025-02-17 16:50:25,2025-02-17 16:50:25,Balance migration to another region or legal entity,-6.82,0.00,EUR,COMPLETED,
TRANSFER,Current,2025-02-17 16:50:25,2025-02-17 16:50:25,Balance migration to another region or legal entity,6.82,0.00,EUR,COMPLETED,
CARD_PAYMENT,Current,2025-02-22 02:10:46,2025-02-24 06:39:24,PubliBike,-5.34,0.05,EUR,COMPLETED,1.43
EXCHANGE,Current,2025-02-25 19:06:26,2025-02-25 19:06:26,Exchange to EUR,320.00,0.00,EUR,COMPLETED,321.43
TRANSFER,Current,2025-02-25 19:07:51,2025-02-25 19:07:51,Transfer to Revolut user,-320.00,0.00,EUR,COMPLETED,1.43
